date,product,quantity,revenue,cost,category,customer_segment
2025-07-01,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-01,Ergonomic Keyboard,1,89.99,45.0,Office,Business
2025-07-01,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-01,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-01,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-01,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-01,Wireless Headphones,5,399.95,200.0,Electronics,Education
2025-07-01,Webcam HD,2,139.98,70.0,Electronics,Consumer
2025-07-01,USB-C Cable,1,12.99,3.5,Accessories,Education
2025-07-01,Webcam HD,2,139.98,70.0,Electronics,Consumer
2025-07-01,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-01,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-01,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-01,Desk Organizer,1,24.99,10.0,Office,Business
2025-07-01,Ergonomic Keyboard,1,89.99,45.0,Office,Business
2025-07-02,Phone Case,1,19.99,5.0,Accessories,Business
2025-07-02,Portable Charger,2,79.98,36.0,Electronics,Business
2025-07-02,Wireless Headphones,6,479.94,240.0,Electronics,Business
2025-07-02,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-02,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-02,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-02,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-02,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-02,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-02,Portable Charger,1,39.99,18.0,Electronics,Business
2025-07-02,Webcam HD,2,139.98,70.0,Electronics,Education
2025-07-02,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-02,Ergonomic Keyboard,1,89.99,45.0,Office,Education
2025-07-02,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-03,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-03,Wireless Headphones,1,79.99,40.0,Electronics,Business
2025-07-03,USB-C Cable,2,25.98,7.0,Accessories,Consumer
